POLQAScoreDL,AggActiveEcIo,AggActiveRSCP,ActiveSetMemberCount,AggActiveoverAggNonActive,BestActiveoverBestNonActive,DetectedSetCount,MonitoredSetCount,PathlossTop1,ULintfTop1,RACHLastTXpower,EcIoA1,EcIoA2,RSCPA1,RSCPA2,Speed,ASU_to_ASUC_ms,E1A_to_ASU_Delay_ms,E1A_to_ASUC_Delay_ms,E1B_to_ASU_Delay_ms,E1B_to_ASUC_Delay_ms,Interval_ASU_ASU_seconds,CompositeBLER%,NumofErrorBlocks,ReceivedGoodBlocks-Sum
3,-4.199999809,-66,2,-2.400000095,1.600000024,4,4,111.5,-106,-22,-4.900000095,-12.39999962,-66.80000305,-75.40000153,41.79999924,80,303,304,266,373,4.070000172,16.20000076,61,316
4.159999847,-9.899999619,-67,1,-14.69999981,-9.899999619,4,2,116.8000031,-106,-22,-9.899999619,-15.19999981,-67,-87.90000153,39.59999847,24,358,358,179,206,2.299999952,14.39999962,18,107
4.429999828,-7.199999809,-75,1,-13.89999962,-7.400000095,6,7,116.8000031,-106,-22,-7.400000095,-15.19999981,-75.19999695,-87.90000153,37.90000153,24,358,358,179,206,2.299999952,16.5,41,210
3.690000057,-8.199999809,-69.80000305,1,-7,-5.599999905,1,2,108,-106,-22,-9,-9.600000381,-72.40000153,-68.80000305,8.100000381,24,358,358,179,206,2.299999952,6.099999905,40,652
4.159999847,-9.600000381,-65.90000153,1,-7.099999905,-6.199999809,1,1,108,-106,-22,-9.600000381,-12.69999981,-65.90000153,-81.5,18.39999962,3,418,423,603,604,6.329999924,17.60000038,64,304
4.329999924,-10.30000019,-73.5,1,0.200000003,3.400000095,0,4,108,-106,-22,-10.30000019,-12.69999981,-73.5,-81.5,23.79999924,3,418,423,603,604,6.329999924,13.89999962,33,215
3.440000057,-8,-76.5,3,4.300000191,4.599999905,1,4,122,-106,-22,-10.80000019,-12.69999981,-79.19999695,-81.5,20.79999924,1,1061,1062,603,604,1.179999948,12.19999981,31,223
3.779999971,-5.900000095,-68.5,2,3.099999905,4.699999809,1,5,93.59999847,-106,-22,-6.800000191,-13.80000019,-69.30000305,-77.69999695,20.79999924,46,250,405,332,384,1.340000033,6.699999809,31,467
4.239999771,-6.800000191,-65.59999847,2,-7.099999905,-8.899999619,1,1,93.59999847,-106,-22,-8.899999619,-12.30000019,-67.80000305,-70.69999695,27.10000038,0,382,382,264,264,5.019999981,12.80000019,32,222
3.480000019,-5.900000095,-68.5,1,-7,-6.199999809,1,4,93.59999847,-106,-22,-7,-12.10000038,-68.80000305,-77.69999695,22.70000076,0,382,382,264,264,5.019999981,4.699999809,13,275
